Id,frame.len,frame.protocols,tcp.stream,tcp.analysis.initial_rtt,tcp.len,tcp.window_size,tcp.flags.syn,tcp.flags.reset,tcp.flags.ack,mqtt.msgtype,mqtt.qos,mqtt.conflag.qos,mqtt.conflag.cleansess,mqtt.kalive,mqtt.username_len,mqtt.passwd_len,mqtt.retain,mqtt.conflag.retain,mqtt.conflag.willflag,mqtt.topic_len,mqtt.len,mqtt.conack.val,residual_score,normal_packet_count,test_packet_count,stream_rows,stream_current_positives,stream_attack_fraction,frequency_excess,undecoded_payload,residual_rank,selected_top64,selected_target3000
4082,54,eth:ethertype:ip:tcp,0,,0,64477,0,0,1,,,,,,,,,,,,,,0.31048346199835847,98,28,525,61,0.11619047619047619,0.7504500000000001,0,18,1,1
8832,54,eth:ethertype:ip:tcp,3,,0,63638,0,0,1,,,,,,,,,,,,,,0.30000008781752263,18,1,71,48,0.676056338028169,0.0,0,19,1,1
4394,54,eth:ethertype:ip:tcp,3,,0,63498,0,0,1,,,,,,,,,,,,,,0.2970719851845284,22,1,71,48,0.676056338028169,0.0,0,20,1,1
6644,60,eth:ethertype:ip:tcp,5,,0,251,0,0,1,,,,,,,,,,,,,,0.2794256875475641,3085,201,57,41,0.7192982456140351,0.0,0,21,1,1
7235,60,eth:ethertype:ip:tcp,5,,0,255,0,0,1,,,,,,,,,,,,,,0.27915686751786495,3371,238,57,41,0.7192982456140351,0.0,0,22,1,1
524,54,eth:ethertype:ip:tcp,0,,0,64195,0,0,1,,,,,,,,,,,,,,0.2158937417175732,57,7,525,61,0.11619047619047619,0.41941428571428574,0,23,1,1
1309,54,eth:ethertype:ip:tcp,0,,0,64195,0,0,1,,,,,,,,,,,,,,0.2158937417175732,57,7,525,61,0.11619047619047619,0.41941428571428574,0,24,1,1
4188,54,eth:ethertype:ip:tcp,0,,0,64195,0,0,1,,,,,,,,,,,,,,0.2158937417175732,57,7,525,61,0.11619047619047619,0.41941428571428574,0,25,1,1
1636,54,eth:ethertype:ip:tcp,0,,0,63631,0,0,1,,,,,,,,,,,,,,0.21360375819414462,127,16,525,61,0.11619047619047619,0.43405625000000003,0,26,1,1
1763,54,eth:ethertype:ip:tcp,0,,0,63631,0,0,1,,,,,,,,,,,,,,0.21360375819414462,127,16,525,61,0.11619047619047619,0.43405625000000003,0,27,1,1
2440,54,eth:ethertype:ip:tcp,0,,0,63631,0,0,1,,,,,,,,,,,,,,0.21360375819414462,127,16,525,61,0.11619047619047619,0.43405625000000003,0,28,1,1
2743,54,eth:ethertype:ip:tcp,0,,0,63631,0,0,1,,,,,,,,,,,,,,0.21360375819414462,127,16,525,61,0.11619047619047619,0.43405625000000003,0,29,1,1
2798,54,eth:ethertype:ip:tcp,0,,0,63631,0,0,1,,,,,,,,,,,,,,0.21360375819414462,127,16,525,61,0.11619047619047619,0.43405625000000003,0,30,1,1
6434,54,eth:ethertype:ip:tcp,0,,0,63631,0,0,1,,,,,,,,,,,,,,0.21360375819414462,127,16,525,61,0.11619047619047619,0.43405625000000003,0,31,1,1
6890,54,eth:ethertype:ip:tcp,0,,0,63631,0,0,1,,,,,,,,,,,,,,0.21360375819414462,127,16,525,61,0.11619047619047619,0.43405625000000003,0,32,1,1
7049,54,eth:ethertype:ip:tcp,0,,0,63631,0,0,1,,,,,,,,,,,,,,0.21360375819414462,127,16,525,61,0.11619047619047619,0.43405625000000003,0,33,1,1
333,54,eth:ethertype:ip:tcp,0,,0,63349,0,0,1,,,,,,,,,,,,,,0.19931441160355157,162,19,525,61,0.11619047619047619,0.39207368421052624,0,34,1,1
526,54,eth:ethertype:ip:tcp,0,,0,63349,0,0,1,,,,,,,,,,,,,,0.19931441160355157,162,19,525,61,0.11619047619047619,0.39207368421052624,0,35,1,1
551,54,eth:ethertype:ip:tcp,0,,0,63349,0,0,1,,,,,,,,,,,,,,0.19931441160355157,162,19,525,61,0.11619047619047619,0.39207368421052624,0,36,1,1
1040,54,eth:ethertype:ip:tcp,0,,0,63349,0,0,1,,,,,,,,,,,,,,0.19931441160355157,162,19,525,61,0.11619047619047619,0.39207368421052624,0,37,1,1
1757,54,eth:ethertype:ip:tcp,0,,0,63349,0,0,1,,,,,,,,,,,,,,0.19931441160355157,162,19,525,61,0.11619047619047619,0.39207368421052624,0,38,1,1
4968,54,eth:ethertype:ip:tcp,0,,0,63349,0,0,1,,,,,,,,,,,,,,0.19931441160355157,162,19,525,61,0.11619047619047619,0.39207368421052624,0,39,1,1
7020,54,eth:ethertype:ip:tcp,0,,0,63349,0,0,1,,,,,,,,,,,,,,0.19931441160355157,162,19,525,61,0.11619047619047619,0.39207368421052624,0,40,1,1
8688,54,eth:ethertype:ip:tcp,0,,0,63349,0,0,1,,,,,,,,,,,,,,0.19931441160355157,162,19,525,61,0.11619047619047619,0.39207368421052624,0,41,1,1
8852,54,eth:ethertype:ip:tcp,0,,0,63349,0,0,1,,,,,,,,,,,,,,0.19931441160355157,162,19,525,61,0.11619047619047619,0.39207368421052624,0,42,1,1
9349,54,eth:ethertype:ip:tcp,0,,0,63349,0,0,1,,,,,,,,,,,,,,0.19931441160355157,162,19,525,61,0.11619047619047619,0.39207368421052624,0,43,1,1
490,54,eth:ethertype:ip:tcp,0,,0,64054,0,0,1,,,,,,,,,,,,,,0.19680877561566013,97,11,525,61,0.11619047619047619,0.37126363636363635,0,44,1,1
2756,54,eth:ethertype:ip:tcp,0,,0,64054,0,0,1,,,,,,,,,,,,,,0.19680877561566013,97,11,525,61,0.11619047619047619,0.37126363636363635,0,45,1,1
5346,54,eth:ethertype:ip:tcp,0,,0,64054,0,0,1,,,,,,,,,,,,,,0.19680877561566013,97,11,525,61,0.11619047619047619,0.37126363636363635,0,46,1,1
5734,54,eth:ethertype:ip:tcp,0,,0,64054,0,0,1,,,,,,,,,,,,,,0.19680877561566013,97,11,525,61,0.11619047619047619,0.37126363636363635,0,47,1,1
6447,54,eth:ethertype:ip:tcp,0,,0,64054,0,0,1,,,,,,,,,,,,,,0.19680877561566013,97,11,525,61,0.11619047619047619,0.37126363636363635,0,48,1,1
7415,54,eth:ethertype:ip:tcp,0,,0,64054,0,0,1,,,,,,,,,,,,,,0.19680877561566013,97,11,525,61,0.11619047619047619,0.37126363636363635,0,49,1,1
226,54,eth:ethertype:ip:tcp,0,,0,63210,0,0,1,,,,,,,,,,,,,,0.1935216409877074,90,10,525,61,0.11619047619047619,0.35830000000000006,0,50,1,1
4759,54,eth:ethertype:ip:tcp,0,,0,63210,0,0,1,,,,,,,,,,,,,,0.1935216409877074,90,10,525,61,0.11619047619047619,0.35830000000000006,0,51,1,1
4881,54,eth:ethertype:ip:tcp,0,,0,63210,0,0,1,,,,,,,,,,,,,,0.1935216409877074,90,10,525,61,0.11619047619047619,0.35830000000000006,0,52,1,1
6423,54,eth:ethertype:ip:tcp,0,,0,63210,0,0,1,,,,,,,,,,,,,,0.1935216409877074,90,10,525,61,0.11619047619047619,0.35830000000000006,0,53,1,1
8103,54,eth:ethertype:ip:tcp,0,,0,63210,0,0,1,,,,,,,,,,,,,,0.1935216409877074,90,10,525,61,0.11619047619047619,0.35830000000000006,0,54,1,1
98,54,eth:ethertype:ip:tcp,0,,0,63774,0,0,1,,,,,,,,,,,,,,0.19348305618732842,167,19,525,61,0.11619047619047619,0.37331052631578954,0,55,1,1
155,54,eth:ethertype:ip:tcp,0,,0,63774,0,0,1,,,,,,,,,,,,,,0.19348305618732842,167,19,525,61,0.11619047619047619,0.37331052631578954,0,56,1,1
175,54,eth:ethertype:ip:tcp,0,,0,63774,0,0,1,,,,,,,,,,,,,,0.19348305618732842,167,19,525,61,0.11619047619047619,0.37331052631578954,0,57,1,1
930,54,eth:ethertype:ip:tcp,0,,0,63774,0,0,1,,,,,,,,,,,,,,0.19348305618732842,167,19,525,61,0.11619047619047619,0.37331052631578954,0,58,1,1
1007,54,eth:ethertype:ip:tcp,0,,0,63774,0,0,1,,,,,,,,,,,,,,0.19348305618732842,167,19,525,61,0.11619047619047619,0.37331052631578954,0,59,1,1
3372,54,eth:ethertype:ip:tcp,0,,0,63774,0,0,1,,,,,,,,,,,,,,0.19348305618732842,167,19,525,61,0.11619047619047619,0.37331052631578954,0,60,1,1
5740,54,eth:ethertype:ip:tcp,0,,0,63774,0,0,1,,,,,,,,,,,,,,0.19348305618732842,167,19,525,61,0.11619047619047619,0.37331052631578954,0,61,1,1
6816,54,eth:ethertype:ip:tcp,0,,0,63774,0,0,1,,,,,,,,,,,,,,0.19348305618732842,167,19,525,61,0.11619047619047619,0.37331052631578954,0,62,1,1
7058,54,eth:ethertype:ip:tcp,0,,0,63774,0,0,1,,,,,,,,,,,,,,0.19348305618732842,167,19,525,61,0.11619047619047619,0.37331052631578954,0,63,1,1
8039,54,eth:ethertype:ip:tcp,0,,0,63774,0,0,1,,,,,,,,,,,,,,0.19348305618732842,167,19,525,61,0.11619047619047619,0.37331052631578954,0,64,1,1
1368,54,eth:ethertype:ip:tcp,0,,0,63490,0,0,1,,,,,,,,,,,,,,0.19347838494994699,150,17,525,61,0.11619047619047619,0.37088235294117644,0,65,0,1
2339,54,eth:ethertype:ip:tcp,0,,0,63490,0,0,1,,,,,,,,,,,,,,0.19347838494994699,150,17,525,61,0.11619047619047619,0.37088235294117644,0,66,0,1
2840,54,eth:ethertype:ip:tcp,0,,0,63490,0,0,1,,,,,,,,,,,,,,0.19347838494994699,150,17,525,61,0.11619047619047619,0.37088235294117644,0,67,0,1
4826,54,eth:ethertype:ip:tcp,0,,0,63490,0,0,1,,,,,,,,,,,,,,0.19347838494994699,150,17,525,61,0.11619047619047619,0.37088235294117644,0,68,0,1
7344,54,eth:ethertype:ip:tcp,0,,0,63490,0,0,1,,,,,,,,,,,,,,0.19347838494994699,150,17,525,61,0.11619047619047619,0.37088235294117644,0,69,0,1
7461,54,eth:ethertype:ip:tcp,0,,0,63490,0,0,1,,,,,,,,,,,,,,0.19347838494994699,150,17,525,61,0.11619047619047619,0.37088235294117644,0,70,0,1
7875,54,eth:ethertype:ip:tcp,0,,0,63490,0,0,1,,,,,,,,,,,,,,0.19347838494994699,150,17,525,61,0.11619047619047619,0.37088235294117644,0,71,0,1
9730,54,eth:ethertype:ip:tcp,0,,0,63490,0,0,1,,,,,,,,,,,,,,0.19347838494994699,150,17,525,61,0.11619047619047619,0.37088235294117644,0,72,0,1
9971,54,eth:ethertype:ip:tcp,0,,0,63490,0,0,1,,,,,,,,,,,,,,0.19347838494994699,150,17,525,61,0.11619047619047619,0.37088235294117644,0,73,0,1
231,54,eth:ethertype:ip:tcp,0,,0,63208,0,0,1,,,,,,,,,,,,,,0.1923867783569061,185,21,525,61,0.11619047619047619,0.3718809523809524,0,74,0,1
388,54,eth:ethertype:ip:tcp,0,,0,63208,0,0,1,,,,,,,,,,,,,,0.1923867783569061,185,21,525,61,0.11619047619047619,0.3718809523809524,0,75,0,1
829,54,eth:ethertype:ip:tcp,0,,0,63208,0,0,1,,,,,,,,,,,,,,0.1923867783569061,185,21,525,61,0.11619047619047619,0.3718809523809524,0,76,0,1
3844,54,eth:ethertype:ip:tcp,0,,0,63208,0,0,1,,,,,,,,,,,,,,0.1923867783569061,185,21,525,61,0.11619047619047619,0.3718809523809524,0,77,0,1
5278,54,eth:ethertype:ip:tcp,0,,0,63208,0,0,1,,,,,,,,,,,,,,0.1923867783569061,185,21,525,61,0.11619047619047619,0.3718809523809524,0,78,0,1
5536,54,eth:ethertype:ip:tcp,0,,0,63208,0,0,1,,,,,,,,,,,,,,0.1923867783569061,185,21,525,61,0.11619047619047619,0.3718809523809524,0,79,0,1
5540,54,eth:ethertype:ip:tcp,0,,0,63208,0,0,1,,,,,,,,,,,,,,0.1923867783569061,185,21,525,61,0.11619047619047619,0.3718809523809524,0,80,0,1
5859,54,eth:ethertype:ip:tcp,0,,0,63208,0,0,1,,,,,,,,,,,,,,0.1923867783569061,185,21,525,61,0.11619047619047619,0.3718809523809524,0,81,0,1
6058,54,eth:ethertype:ip:tcp,0,,0,63208,0,0,1,,,,,,,,,,,,,,0.1923867783569061,185,21,525,61,0.11619047619047619,0.3718809523809524,0,82,0,1
6415,54,eth:ethertype:ip:tcp,0,,0,63208,0,0,1,,,,,,,,,,,,,,0.1923867783569061,185,21,525,61,0.11619047619047619,0.3718809523809524,0,83,0,1
6780,54,eth:ethertype:ip:tcp,0,,0,63208,0,0,1,,,,,,,,,,,,,,0.1923867783569061,185,21,525,61,0.11619047619047619,0.3718809523809524,0,84,0,1
9279,54,eth:ethertype:ip:tcp,0,,0,63208,0,0,1,,,,,,,,,,,,,,0.1923867783569061,185,21,525,61,0.11619047619047619,0.3718809523809524,0,85,0,1
1347,54,eth:ethertype:ip:tcp,0,,0,63913,0,0,1,,,,,,,,,,,,,,0.19129285178315392,91,10,525,61,0.11619047619047619,0.35117,0,86,0,1
2338,54,eth:ethertype:ip:tcp,0,,0,63913,0,0,1,,,,,,,,,,,,,,0.19129285178315392,91,10,525,61,0.11619047619047619,0.35117,0,87,0,1
6383,54,eth:ethertype:ip:tcp,0,,0,63913,0,0,1,,,,,,,,,,,,,,0.19129285178315392,91,10,525,61,0.11619047619047619,0.35117,0,88,0,1
7906,54,eth:ethertype:ip:tcp,0,,0,63913,0,0,1,,,,,,,,,,,,,,0.19129285178315392,91,10,525,61,0.11619047619047619,0.35117,0,89,0,1
9311,54,eth:ethertype:ip:tcp,0,,0,63913,0,0,1,,,,,,,,,,,,,,0.19129285178315392,91,10,525,61,0.11619047619047619,0.35117,0,90,0,1
1822,54,eth:ethertype:ip:tcp,0,,0,63915,0,0,1,,,,,,,,,,,,,,0.18922812703751943,188,21,525,61,0.11619047619047619,0.36169523809523807,0,91,0,1
1839,54,eth:ethertype:ip:tcp,0,,0,63915,0,0,1,,,,,,,,,,,,,,0.18922812703751943,188,21,525,61,0.11619047619047619,0.36169523809523807,0,92,0,1
2211,54,eth:ethertype:ip:tcp,0,,0,63915,0,0,1,,,,,,,,,,,,,,0.18922812703751943,188,21,525,61,0.11619047619047619,0.36169523809523807,0,93,0,1
2217,54,eth:ethertype:ip:tcp,0,,0,63915,0,0,1,,,,,,,,,,,,,,0.18922812703751943,188,21,525,61,0.11619047619047619,0.36169523809523807,0,94,0,1
2236,54,eth:ethertype:ip:tcp,0,,0,63915,0,0,1,,,,,,,,,,,,,,0.18922812703751943,188,21,525,61,0.11619047619047619,0.36169523809523807,0,95,0,1
2304,54,eth:ethertype:ip:tcp,0,,0,63915,0,0,1,,,,,,,,,,,,,,0.18922812703751943,188,21,525,61,0.11619047619047619,0.36169523809523807,0,96,0,1
4080,54,eth:ethertype:ip:tcp,0,,0,63915,0,0,1,,,,,,,,,,,,,,0.18922812703751943,188,21,525,61,0.11619047619047619,0.36169523809523807,0,97,0,1
6579,54,eth:ethertype:ip:tcp,0,,0,63915,0,0,1,,,,,,,,,,,,,,0.18922812703751943,188,21,525,61,0.11619047619047619,0.36169523809523807,0,98,0,1
6776,54,eth:ethertype:ip:tcp,0,,0,63915,0,0,1,,,,,,,,,,,,,,0.18922812703751943,188,21,525,61,0.11619047619047619,0.36169523809523807,0,99,0,1
9575,54,eth:ethertype:ip:tcp,0,,0,63915,0,0,1,,,,,,,,,,,,,,0.18922812703751943,188,21,525,61,0.11619047619047619,0.36169523809523807,0,100,0,1
9872,54,eth:ethertype:ip:tcp,0,,0,63915,0,0,1,,,,,,,,,,,,,,0.18922812703751943,188,21,525,61,0.11619047619047619,0.36169523809523807,0,101,0,1
205,54,eth:ethertype:ip:tcp,0,,0,64056,0,0,1,,,,,,,,,,,,,,0.1885641814847676,206,23,525,61,0.11619047619047619,0.36139999999999994,0,102,0,1
1331,54,eth:ethertype:ip:tcp,0,,0,64056,0,0,1,,,,,,,,,,,,,,0.1885641814847676,206,23,525,61,0.11619047619047619,0.36139999999999994,0,103,0,1
1855,54,eth:ethertype:ip:tcp,0,,0,64056,0,0,1,,,,,,,,,,,,,,0.1885641814847676,206,23,525,61,0.11619047619047619,0.36139999999999994,0,104,0,1
2309,54,eth:ethertype:ip:tcp,0,,0,64056,0,0,1,,,,,,,,,,,,,,0.1885641814847676,206,23,525,61,0.11619047619047619,0.36139999999999994,0,105,0,1
3704,54,eth:ethertype:ip:tcp,0,,0,64056,0,0,1,,,,,,,,,,,,,,0.1885641814847676,206,23,525,61,0.11619047619047619,0.36139999999999994,0,106,0,1
4742,54,eth:ethertype:ip:tcp,0,,0,64056,0,0,1,,,,,,,,,,,,,,0.1885641814847676,206,23,525,61,0.11619047619047619,0.36139999999999994,0,107,0,1
5596,54,eth:ethertype:ip:tcp,0,,0,64056,0,0,1,,,,,,,,,,,,,,0.1885641814847676,206,23,525,61,0.11619047619047619,0.36139999999999994,0,108,0,1
5728,54,eth:ethertype:ip:tcp,0,,0,64056,0,0,1,,,,,,,,,,,,,,0.1885641814847676,206,23,525,61,0.11619047619047619,0.36139999999999994,0,109,0,1
6719,54,eth:ethertype:ip:tcp,0,,0,64056,0,0,1,,,,,,,,,,,,,,0.1885641814847676,206,23,525,61,0.11619047619047619,0.36139999999999994,0,110,0,1
8059,54,eth:ethertype:ip:tcp,0,,0,64056,0,0,1,,,,,,,,,,,,,,0.1885641814847676,206,23,525,61,0.11619047619047619,0.36139999999999994,0,111,0,1
8654,54,eth:ethertype:ip:tcp,0,,0,64056,0,0,1,,,,,,,,,,,,,,0.1885641814847676,206,23,525,61,0.11619047619047619,0.36139999999999994,0,112,0,1
8696,54,eth:ethertype:ip:tcp,0,,0,64056,0,0,1,,,,,,,,,,,,,,0.1885641814847676,206,23,525,61,0.11619047619047619,0.36139999999999994,0,113,0,1
9940,54,eth:ethertype:ip:tcp,0,,0,64056,0,0,1,,,,,,,,,,,,,,0.1885641814847676,206,23,525,61,0.11619047619047619,0.36139999999999994,0,114,0,1
7898,66,eth:ethertype:ip:tcp,1,,0,64620,0,0,1,,,,,,,,,,,,,,0.17854218452676623,240,28,2550,170,0.06666666666666667,0.3888571428571428,0,115,0,1
1175,54,eth:ethertype:ip:tcp,0,,0,63492,0,0,1,,,,,,,,,,,,,,0.17782908055533925,125,13,525,61,0.11619047619047619,0.3144230769230769,0,116,0,1
2318,54,eth:ethertype:ip:tcp,0,,0,63492,0,0,1,,,,,,,,,,,,,,0.17782908055533925,125,13,525,61,0.11619047619047619,0.3144230769230769,0,117,0,1
3880,54,eth:ethertype:ip:tcp,0,,0,63492,0,0,1,,,,,,,,,,,,,,0.17782908055533925,125,13,525,61,0.11619047619047619,0.3144230769230769,0,118,0,1
6525,54,eth:ethertype:ip:tcp,0,,0,63492,0,0,1,,,,,,,,,,,,,,0.17782908055533925,125,13,525,61,0.11619047619047619,0.3144230769230769,0,119,0,1
7392,54,eth:ethertype:ip:tcp,0,,0,63492,0,0,1,,,,,,,,,,,,,,0.17782908055533925,125,13,525,61,0.11619047619047619,0.3144230769230769,0,120,0,1
7755,54,eth:ethertype:ip:tcp,0,,0,63492,0,0,1,,,,,,,,,,,,,,0.17782908055533925,125,13,525,61,0.11619047619047619,0.3144230769230769,0,121,0,1
9601,54,eth:ethertype:ip:tcp,0,,0,63492,0,0,1,,,,,,,,,,,,,,0.17782908055533925,125,13,525,61,0.11619047619047619,0.3144230769230769,0,122,0,1
271,54,eth:ethertype:ip:tcp,0,,0,64479,0,0,1,,,,,,,,,,,,,,0.1754137788404181,266,28,525,61,0.11619047619047619,0.32265,0,123,0,1
1060,54,eth:ethertype:ip:tcp,0,,0,64479,0,0,1,,,,,,,,,,,,,,0.1754137788404181,266,28,525,61,0.11619047619047619,0.32265,0,124,0,1
1441,54,eth:ethertype:ip:tcp,0,,0,64479,0,0,1,,,,,,,,,,,,,,0.1754137788404181,266,28,525,61,0.11619047619047619,0.32265,0,125,0,1
2874,54,eth:ethertype:ip:tcp,0,,0,64479,0,0,1,,,,,,,,,,,,,,0.1754137788404181,266,28,525,61,0.11619047619047619,0.32265,0,126,0,1
3018,54,eth:ethertype:ip:tcp,0,,0,64479,0,0,1,,,,,,,,,,,,,,0.1754137788404181,266,28,525,61,0.11619047619047619,0.32265,0,127,0,1
3164,54,eth:ethertype:ip:tcp,0,,0,64479,0,0,1,,,,,,,,,,,,,,0.1754137788404181,266,28,525,61,0.11619047619047619,0.32265,0,128,0,1
5187,54,eth:ethertype:ip:tcp,0,,0,64479,0,0,1,,,,,,,,,,,,,,0.1754137788404181,266,28,525,61,0.11619047619047619,0.32265,0,129,0,1
6385,54,eth:ethertype:ip:tcp,0,,0,64479,0,0,1,,,,,,,,,,,,,,0.1754137788404181,266,28,525,61,0.11619047619047619,0.32265,0,130,0,1
7173,54,eth:ethertype:ip:tcp,0,,0,64479,0,0,1,,,,,,,,,,,,,,0.1754137788404181,266,28,525,61,0.11619047619047619,0.32265,0,131,0,1
7586,54,eth:ethertype:ip:tcp,0,,0,64479,0,0,1,,,,,,,,,,,,,,0.1754137788404181,266,28,525,61,0.11619047619047619,0.32265,0,132,0,1
8026,54,eth:ethertype:ip:tcp,0,,0,64479,0,0,1,,,,,,,,,,,,,,0.1754137788404181,266,28,525,61,0.11619047619047619,0.32265,0,133,0,1
8354,54,eth:ethertype:ip:tcp,0,,0,64479,0,0,1,,,,,,,,,,,,,,0.1754137788404181,266,28,525,61,0.11619047619047619,0.32265,0,134,0,1
8712,54,eth:ethertype:ip:tcp,0,,0,64479,0,0,1,,,,,,,,,,,,,,0.1754137788404181,266,28,525,61,0.11619047619047619,0.32265,0,135,0,1
8778,54,eth:ethertype:ip:tcp,0,,0,64479,0,0,1,,,,,,,,,,,,,,0.1754137788404181,266,28,525,61,0.11619047619047619,0.32265,0,136,0,1
9572,54,eth:ethertype:ip:tcp,0,,0,64479,0,0,1,,,,,,,,,,,,,,0.1754137788404181,266,28,525,61,0.11619047619047619,0.32265,0,137,0,1
9657,54,eth:ethertype:ip:tcp,0,,0,64479,0,0,1,,,,,,,,,,,,,,0.1754137788404181,266,28,525,61,0.11619047619047619,0.32265,0,138,0,1
27,54,eth:ethertype:ip:tcp,0,,0,64197,0,0,1,,,,,,,,,,,,,,0.17173315701179542,233,24,525,61,0.11619047619047619,0.3077958333333334,0,139,0,1
1129,54,eth:ethertype:ip:tcp,0,,0,64197,0,0,1,,,,,,,,,,,,,,0.17173315701179542,233,24,525,61,0.11619047619047619,0.3077958333333334,0,140,0,1
1823,54,eth:ethertype:ip:tcp,0,,0,64197,0,0,1,,,,,,,,,,,,,,0.17173315701179542,233,24,525,61,0.11619047619047619,0.3077958333333334,0,141,0,1
2377,54,eth:ethertype:ip:tcp,0,,0,64197,0,0,1,,,,,,,,,,,,,,0.17173315701179542,233,24,525,61,0.11619047619047619,0.3077958333333334,0,142,0,1
3783,54,eth:ethertype:ip:tcp,0,,0,64197,0,0,1,,,,,,,,,,,,,,0.17173315701179542,233,24,525,61,0.11619047619047619,0.3077958333333334,0,143,0,1
4507,54,eth:ethertype:ip:tcp,0,,0,64197,0,0,1,,,,,,,,,,,,,,0.17173315701179542,233,24,525,61,0.11619047619047619,0.3077958333333334,0,144,0,1
4657,54,eth:ethertype:ip:tcp,0,,0,64197,0,0,1,,,,,,,,,,,,,,0.17173315701179542,233,24,525,61,0.11619047619047619,0.3077958333333334,0,145,0,1
5553,54,eth:ethertype:ip:tcp,0,,0,64197,0,0,1,,,,,,,,,,,,,,0.17173315701179542,233,24,525,61,0.11619047619047619,0.3077958333333334,0,146,0,1
6177,54,eth:ethertype:ip:tcp,0,,0,64197,0,0,1,,,,,,,,,,,,,,0.17173315701179542,233,24,525,61,0.11619047619047619,0.3077958333333334,0,147,0,1
6661,54,eth:ethertype:ip:tcp,0,,0,64197,0,0,1,,,,,,,,,,,,,,0.17173315701179542,233,24,525,61,0.11619047619047619,0.3077958333333334,0,148,0,1
6871,54,eth:ethertype:ip:tcp,0,,0,64197,0,0,1,,,,,,,,,,,,,,0.17173315701179542,233,24,525,61,0.11619047619047619,0.3077958333333334,0,149,0,1
7597,54,eth:ethertype:ip:tcp,0,,0,64197,0,0,1,,,,,,,,,,,,,,0.17173315701179542,233,24,525,61,0.11619047619047619,0.3077958333333334,0,150,0,1
